x6,x13,x14,x8_automatic,x8_manual,x15_No,x15_Yes,Age of car,x1,x11,x9,y
2,6,33,0,1,1,0,14,1,-1.6999845321665554,94.0,3850.0
0,1,36,0,1,1,0,11,2,0.7245501138661985,140.0,5999.0
6,1,20,1,0,1,0,11,3,0.7245501138661985,150.0,5990.0
6,1,0,0,1,1,0,13,4,0.7245501138661985,150.0,4000.0
0,6,1,0,1,1,0,13,5,0.11841645235801,200.0,12950.0
6,6,20,1,0,1,0,18,6,0.7245501138661985,129.0,3600.0
0,1,36,0,1,1,0,15,7,0.7245501138661985,131.0,4450.0
3,6,19,0,1,1,0,8,8,-0.9726241383567292,146.0,10500.0
5,6,2,1,0,1,0,14,9,0.7245501138661985,116.0,10900.0
6,6,1,0,1,1,0,5,10,-2.1848914613731063,122.0,17250.0
7,1,18,1,0,1,0,8,11,0.7245501138661985,116.0,25900.0
6,1,20,0,1,0,1,18,12,0.7245501138661985,116.0,9500.0
6,6,1,1,0,1,0,12,13,-0.48771720915017847,163.0,8500.0
0,1,1,0,1,1,0,16,14,0.7245501138661985,179.0,2690.0
0,6,24,0,1,1,0,11,15,0.11841645235801,105.0,5899.0
3,1,20,1,0,1,0,3,16,-1.45753106756328,163.0,31830.0
2,6,2,0,1,1,0,15,17,0.7245501138661985,116.0,2850.0
6,1,1,0,1,1,0,4,18,-1.2150776029600046,150.0,23750.0
6,1,20,1,0,1,0,9,19,0.7245501138661985,224.0,12700.0
0,1,20,0,1,1,0,10,20,0.7245501138661985,170.0,13999.0
2,6,32,1,0,1,0,7,21,-1.45753106756328,61.0,5050.0
0,6,2,0,1,1,0,14,22,-0.9726241383567292,170.0,8200.0
0,1,27,0,1,0,1,15,23,0.7245501138661985,150.0,1200.0
6,6,20,1,0,1,0,8,24,-1.45753106756328,156.0,15200.0
2,6,9,0,1,1,0,10,25,-0.48771720915017847,77.0,3350.0
0,1,36,1,0,1,0,15,26,0.7245501138661985,114.0,3490.0
0,6,36,1,0,1,0,12,27,0.7245501138661985,250.0,9500.0
0,1,35,1,0,1,0,7,28,-0.7301706737534539,150.0,15555.0
