x1,y
60001,7800.626
60002,3762.5503
60003,19125.994
60004,5850.1577
60005,3874.0525
60006,11843.979
60007,8293.506
60008,7222.5327
60009,19782.828
60010,9792.469
60011,2610.3567
60012,1917.8302
60013,3817.7493
60014,2971.894
60015,9166.217
60016,1326.6473
60017,2680.9712
60018,2156.2002
60019,1632.624
60020,9718.192
60021,2139.8674
60022,8632.443
60023,12039.074
60024,2470.2886
60025,14112.277
60026,12104.226
60027,10285.805
60028,14074.74
60029,1935.592
60030,1764.7109
60031,2947.2993
60032,8975.601
60033,19080.285
60034,7223.058
60035,10876.046
60036,2805.3433
60037,10371.603
60038,11558.835
60039,11385.332
60040,4149.106
60041,4553.6743
60042,4523.2715
60043,2331.7441
60044,4947.6597
60045,3114.0881
60046,2794.142
60047,9403.37
60048,9533.093
60049,10862.9795
60050,4491.893
60051,1917.7007
60052,1663.4438
60053,4640.311
60054,4073.5894
60055,6115.7686
60056,17585.021
60057,7732.638
60058,3209.9165
60059,8908.461
60060,5218.8037
60061,9600.945
60062,15428.253
60063,4776.62
60064,3675.788
60065,6584.3657
60066,2237.8013
60067,4029.751
60068,2129.968
60069,10249.654
60070,3570.3054
60071,6350.61
60072,6063.994
60073,3184.9182
60074,15424.44
60075,12290.441
60076,1965.5383
60077,13778.035
60078,7478.383
60079,8423.856
60080,1693.4224
60081,6098.198
60082,3245.186
60083,7394.4
60084,1969.2272
60085,3107.2126
60086,8475.161
60087,2561.9487
60088,1995.7362
60089,1673.0135
60090,11843.979
60091,3343.2698
60092,2238.6682
60093,10799.129
60094,18716.268
60095,6965.1797
60096,7574.9844
60097,3488.2178
60098,3196.006
60099,16820.344
60100,6555.0527
60101,10269.846
60102,11841.467
60103,4350.806
60104,17580.195
60105,3138.109
60106,10229.744
60107,5224.829
60108,9398.576
60109,9415.719
60110,10555.8
60111,9991.277
60112,10921.109
60113,15922.234
60114,6812.891
60115,23011.05
60116,14188.964
60117,8629.847
60118,7416.068
60119,2067.8284
60120,4354.0967
60121,11189.687
60122,14014.303
60123,11104.734
60124,2598.03
60125,8215.067
60126,8561.615
60127,2401.6953
60128,1663.5762
60129,6072.027
60130,9403.37
60131,4574.473
60132,3511.5134
60133,11356.471
60134,3649.971
60135,5381.567
60136,2573.0986
60137,9134.484
60138,4120.439
60139,10020.575
60140,6325.2188
60141,12174.237
60142,18786.248
60143,12170.024
60144,7013.3374
60145,5536.563
60146,10414.23
60147,12969.414
60148,3810.1062
60149,5365.5493
60150,8039.9893
60151,3033.0737
60152,4387.4487
60153,1626.8262
60154,17072.799
60155,1659.3873
60156,25512.17
60157,13614.382
60158,8289.915
60159,2399.094
60160,4204.1143
60161,2509.5989
60162,17220.312
60163,6017.582
60164,1761.8008
60165,4086.676
60166,3310.7952
60167,3550.7698
60168,3136.1177
60169,10183.729
60170,7624.7256
60171,2915.073
60172,3030.9954
60173,1665.1725
60174,14088.957
60175,6561.2656
60176,10761.753
60177,25982.115
60178,3382.9917
60179,2428.7898
60180,4644.137
60181,6801.4507
60182,3640.6624
60183,1952.5983
60184,4945.827
60185,1884.2544
60186,5938.04
60187,7184.886
60188,4898.4463
60189,2236.289
60190,7340.6025
60191,4487.419
60192,2463.8264
60193,5388.148
60194,9141.926
60195,1913.7017
60196,21009.701
60197,14461.61
60198,11657.638
60199,5753.558
60200,7458.9272
60201,20858.994
60202,1643.4594
60203,7245.534
60204,2228.4844
60205,3822.441
60206,12425.775
60207,6921.711
60208,7748.06
60209,9681.0205
60210,9364.485
60211,7640.303
60212,6269.6777
60213,2957.2517
60214,6886.9263
60215,4154.2197
60216,8917.106
60217,7101.3647
60218,11862.12
60219,10780.479
60220,1510.9738
60221,2269.9036
60222,1969.2272
60223,4527.2627
60224,2545.7976
60225,6700.7485
60226,13720.716
60227,4207.804
60228,18808.98
60229,11421.917
60230,10353.524
60231,6437.023
60232,1751.178
60233,2412.1633
60234,4606.8223
60235,3030.9988
60236,2417.1868
60237,11903.193
60238,2726.9412
60239,1478.1436
60240,3933.259
60241,2248.069
60242,5581.19
60243,5057.4146
60244,1886.1027
60245,2151.352
60246,4678.592
